MachineID,Type,Location,Timestamp,EngineTemperature,FuelConsumption,VibrationLevel,Humidity,Pressure,PowerOutput,OperatingHours,Status,Status_encoded,Timestamp_epoch,hour,dayofweek,month
M001,Loader,Site D,9/1/2025 0:00,73.7,10.63,4.22,70.3,997.3,185.4,1,Idle,2,1756684800,0,0,9
M001,Loader,Site D,9/1/2025 1:00,68.1,9.61,3.16,69.2,965.6,194,2,Fault,1,1756688400,1,0,9
M001,Loader,Site D,9/1/2025 2:00,69.3,10.01,2.76,55.7,935.2,171.4,3,Maintenance,3,1756692000,2,0,9
M001,Loader,Site D,9/1/2025 3:00,78.3,12.71,5.79,67,931.8,172.5,4,Active,0,1756695600,3,0,9
M001,Loader,Site D,9/1/2025 4:00,77.3,9.83,2.24,65.7,919,217.8,5,Maintenance,3,1756699200,4,0,9
M001,Loader,Site D,9/1/2025 5:00,74.8,10.1,3.54,72.4,920.3,194.1,6,Idle,2,1756702800,5,0,9
M001,Loader,Site D,9/1/2025 6:00,73.2,6.95,3.98,70,921.7,184.5,7,Idle,2,1756706400,6,0,9
M001,Loader,Site D,9/1/2025 7:00,81.6,12.71,2.91,70.4,922.8,188.4,8,Idle,2,1756710000,7,0,9
M001,Loader,Site D,9/1/2025 8:00,73.7,9.56,3.69,69.7,966.2,212.5,9,Maintenance,3,1756713600,8,0,9
M001,Loader,Site D,9/1/2025 9:00,73.3,10.19,4.15,83,933.4,190.1,10,Maintenance,3,1756717200,9,0,9
M001,Loader,Site D,9/1/2025 10:00,74.5,8.57,4.25,70.5,935.6,210.9,11,Fault,1,1756720800,10,0,9
M001,Loader,Site D,9/1/2025 11:00,69.2,7.89,4.43,43.2,945,220.8,12,Maintenance,3,1756724400,11,0,9
M001,Loader,Site D,9/1/2025 12:00,72.3,9.09,3.1,68,972,205.8,13,Fault,1,1756728000,12,0,9
M001,Loader,Site D,9/1/2025 13:00,83.5,8.45,2.79,71.3,946.7,181,14,Idle,2,1756731600,13,0,9
M001,Loader,Site D,9/1/2025 14:00,75.8,7.97,3.69,72.8,967.6,193.9,15,Maintenance,3,1756735200,14,0,9
